Collecting idm training data 1000
IDM train: iteration: 500, idm_loss: 0.037762
IDM train: iteration: 1000, idm_loss: 0.003931

iteration: 1, total_reward: 9.0, policy_loss: 0.696644, idm_loss: 0.003549


iteration: 2, total_reward: 10.0, policy_loss: 0.691281, idm_loss: 0.004244


iteration: 3, total_reward: 10.0, policy_loss: 0.697765, idm_loss: 0.004272


iteration: 4, total_reward: 9.0, policy_loss: 0.703897, idm_loss: 0.003427


iteration: 5, total_reward: 9.0, policy_loss: 0.702231, idm_loss: 0.003830


iteration: 6, total_reward: 8.0, policy_loss: 0.704069, idm_loss: 0.004139


iteration: 7, total_reward: 9.0, policy_loss: 0.701730, idm_loss: 0.003943


iteration: 8, total_reward: 10.0, policy_loss: 0.716954, idm_loss: 0.004010


iteration: 9, total_reward: 10.0, policy_loss: 0.716295, idm_loss: 0.004041


iteration: 10, total_reward: 10.0, policy_loss: 0.707090, idm_loss: 0.003640


iteration: 11, total_reward: 9.0, policy_loss: 0.710818, idm_loss: 0.003939


iteration: 12, total_reward: 9.0, policy_loss: 0.717062, idm_loss: 0.004363


iteration: 13, total_reward: 10.0, policy_loss: 0.716163, idm_loss: 0.003279


iteration: 14, total_reward: 8.0, policy_loss: 0.707857, idm_loss: 0.003554


iteration: 15, total_reward: 10.0, policy_loss: 0.709275, idm_loss: 0.002264


iteration: 16, total_reward: 10.0, policy_loss: 0.709853, idm_loss: 0.002583


iteration: 17, total_reward: 10.0, policy_loss: 0.709035, idm_loss: 0.002025


iteration: 18, total_reward: 8.0, policy_loss: 0.716255, idm_loss: 0.002285


iteration: 19, total_reward: 10.0, policy_loss: 0.712112, idm_loss: 0.002142


iteration: 20, total_reward: 9.0, policy_loss: 0.713251, idm_loss: 0.002287


iteration: 21, total_reward: 10.0, policy_loss: 0.708536, idm_loss: 0.002166


iteration: 22, total_reward: 10.0, policy_loss: 0.710745, idm_loss: 0.002155


iteration: 23, total_reward: 8.0, policy_loss: 0.711298, idm_loss: 0.004120


iteration: 24, total_reward: 10.0, policy_loss: 0.710370, idm_loss: 0.003882


iteration: 25, total_reward: 10.0, policy_loss: 0.711935, idm_loss: 0.001854


iteration: 26, total_reward: 10.0, policy_loss: 0.709665, idm_loss: 0.001948


iteration: 27, total_reward: 9.0, policy_loss: 0.711891, idm_loss: 0.003370


iteration: 28, total_reward: 9.0, policy_loss: 0.709941, idm_loss: 0.003295


iteration: 29, total_reward: 9.0, policy_loss: 0.707943, idm_loss: 0.003310


iteration: 30, total_reward: 10.0, policy_loss: 0.707825, idm_loss: 0.001966


iteration: 31, total_reward: 10.0, policy_loss: 0.708897, idm_loss: 0.002027


iteration: 32, total_reward: 9.0, policy_loss: 0.706969, idm_loss: 0.002131


iteration: 33, total_reward: 10.0, policy_loss: 0.706991, idm_loss: 0.001831


iteration: 34, total_reward: 10.0, policy_loss: 0.709239, idm_loss: 0.002085

