iteration,average_reward,policy_loss,fdm_loss
1 , -96.592157
2 , -40.807104
3 , -33.895315
4 , -27.800079
5 , -14.091733
6 , -14.297492
7 , -10.963017
8 , -12.915097
9 , -11.852789
10 , -9.955111
11 , -11.433096
12 , -10.511309
13 , -10.123507
14 , -9.641400
15 , -10.200862
16 , -10.014309
17 , -9.926926
18 , -9.952151
19 , -10.027162
20 , -9.871785
21 , -10.075782
22 , -9.844461
23 , -9.684551
24 , -10.184816
25 , -9.886420
26 , -9.894075
27 , -9.966828
28 , -9.812802
29 , -9.950064
30 , -10.086767
31 , -9.843192
32 , -10.043541
33 , -9.994064
34 , -10.043212
35 , -9.960984
36 , -9.852503
37 , -9.887402
38 , -9.865354
39 , -9.932671
40 , -10.041171
41 , -10.018611
42 , -9.809849
43 , -10.078195
44 , -10.112690
45 , -10.140909
46 , -10.003847
47 , -9.953739
48 , -10.005287
49 , -10.015272
50 , -9.979199
